
QSP    Name               Bridge  Comp  SS:WS Scoops  Cargo  Fuel   AV  SR:LB   MCr
K-FC03 ANNIC NOVA           +2       3    3:2    0        0    66    9   0:0    210
L-DC12 Laknir               +1       2    5:4    0       48    36   30   0:0    136

QSP    Name               Bridge  Comp  SS:WS Scoops  Cargo  Fuel   AV  SR:LB   MCr
------ ------------------ ------  ----  ----- ------  -----  ----  ---  -- --  ----
L-DC22 Lab Ship-TL16        +2       4    6:6    0       48    36   32  20:0    148
L-DL14 Hkiyrerao            +0       5    5:8    1        0    48   28  10:10   224
M-BS11 Tramp Liner          +1       1    0:0    1       50    24   10  20:8     36
M-FB13 Enkidu               +2       3    0:0    0      120    78   12  21:20   132
M-FU13 Dhaztuen             +2       2    0:0    0       30    78   12  24:10   150
M-FU13 Liner                +2       2    0:0    0      120    78   12  21:20   132
M-HB14 Chtabl               +1       4    0:0    0       56   104   28  36:34   224
M-HS14 Brilliance           +1       3    0:0    0        0   104    6  28:0    248
M-KU14 Tukera RT            +1       4    0:0    0      130   130   13  36:14   250
N-DS23 Kurgulash            +1       3    4:3    1       20    40   32   0:20   172

QSP    Name               Bridge  Comp  SS:WS Scoops  Cargo  Fuel   AV  SR:LB   MCr
------ ------------------ ------  ----  ----- ------  -----  ----  ---  -- --  ----
N-DU23 Donosev              +2       5    5:9    0       20    40   30   0:0    188
P-AS42 Derjus               +1       2    4:0    1        0    14   11   0:0     54
P-CU42 Fang                 +2       2    7:0    1       45    42   18   0:0    126
P-DA41 Aedokhaz             +1       2    6:2    1       72    52   34   0:12   184
P-DA42 Kforgzue             +1       2    5:0    1      128    44   32   0:12   156
P-DA62 Az Alrrak            +2       2    5:1    1       12    68   22   0:12   384
R-DA11 March                +2       1    0:0    1      200    44   13   8:9     92
R-DA11 Merchant             +1       1    0:0    1      212    44   13   8:9     96
R-DA11 Sheshar              +2       1    0:0    1      148    44   34  20:10   108
R-EU12 Maru                 +1       2    0:0    0      195    60   11  14:14   110

QSP    Name               Bridge  Comp  SS:WS Scoops  Cargo  Fuel   AV  SR:LB   MCr
------ ------------------ ------  ----  ----- ------  -----  ----  ---  -- --  ----
R-FB22 Khtukhao             +2       3    0:0    0      138    72   12  24:1    162
R-TB43 Leviathan            +2       4    6:3    1       54   252   36   4:4    630
S-AA22 Serpent              +2       3    5:7    1        5    12   12   0:0     60
S-AL22 Murphy               +2       1    3:0    1        3    12    5   0:0     52
S-AL23 Grendel              +2       1    0:0    1        4    14   11   0:0     80
S-AS13 Advance Scout        +1       3    6:5    1        3    13   12   0:0     58
S-AS22 Gashiiri             +0       1    0:0    1        7    12   30   0:0     36
S-AS22 Syunutstryak         +1       1    4:6    1        6    12   13   0:0     82
S-AS42 Kanllaz              +2       4    2:0    1        0    14   12   0:0     66
S-AS62 Chiron               +2       5    4:0    1        0    16    9   0:2     85

QSP    Name               Bridge  Comp  SS:WS Scoops  Cargo  Fuel   AV  SR:LB   MCr
------ ------------------ ------  ----  ----- ------  -----  ----  ---  -- --  ----
S-BA22 Wind                 +2       2    0:0    0        2    24   24   0:0     68
S-BA33 Tathoe               +2       5    3:0    1        8    26   13   0:0    124
S-BL43 Ktiyhui              +2       4    5:0    1       16    26   13   0:0    114
S-DS42 Aegis                +2       4    5:3    1        0    56   48   0:0    364
T-KL33 Aositaoh             +2       5    6:1    1       80   110   84   0:0    470
T-KU33 Bretremoy            +2       3    0:0    1        0   130   12   4:0    330
T-MA50 Orca                 +2       6    4:5    1      492   156   34   9:0    516
U-CA33 Armed Packet         +2       3    0:0    1        3    36   12  10:4    114
U-GL64 Leaper               +2       5    3:0    1        7   112   30   6:2    413
V-BS44 Hkauiya              +2       4    5:0    1       16    28   12   0:0    104

QSP    Name               Bridge  Comp  SS:WS Scoops  Cargo  Fuel   AV  SR:LB   MCr
------ ------------------ ------  ----  ----- ------  -----  ----  ---  -- --  ----
W-AS21 Shumshuga            +0       1    0:0    1       20    12    9   0:0     32
X-AB04 Dryad                +0       4    1:0    0        0    14   13   0:0     56
X-AB04 Xboat prototype      +0       7    1:0    0        0    14   26   0:0    127
X-AU04 Express Boat         +2       4    1:0    0        1    14   15   0:0     54
X-BS24 Qliaf                +1       3    5:0    1       16    24   28   5:0     94
Y-BB11 Yacht                +1       1    1:0    0       12    22    9   9:0     72
Y-EU42 Sunflower            +2       3    5:1    1       20    55    7   0:0    195
